ds_strain_id	phylum	class	order	family	genus	species	strain_designation	source	source_catalog_number	id_RES	id_FOR	id_LIB	id_ZOC	RES_sample_number	RES_sample_name	RES_in_IAMM	RES_dna_prep	RES_ref_genome	LIB_Location_Column	LIB_Location_Box	LIB_Location_BoxNo	LIB_BoxRow	LIB_Other_Names	LIB_Source	LIB_Source_catalog_number	LIB_Note	LIB_Strain_nickname	ZOC_species	ZOC_filename	ZOC_GFC	ZOC_repository	ZOC_isolation_source	ZOC_isolation_notes
23913					Sinorhizobium	meliloti	23913			D20-160082-4500T			Sinorhizobium meliloti DSM 23913	82	D20-160082-4500T		23913											Sinorhizobium meliloti DSM 23913	2597490345	14	JGI	PA	Aral sea region
25922	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	coli	Seattle 1946	ATCC	25922		25922	25922							2	6	7000186764	G		ATCC	25922		25922						
26499	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	mediterranea	MED64	DSMZ	26499	D20-160031-4500T	26499	26499	Alteromonas macleodii 'Aegean Sea MED64'	31	D20-160031-4500T	Y	26499	2545824627.fna	1	3	7000186762	F		DSMZ	26499		26499	Alteromonas macleodii 'Aegean Sea MED64'	2545824627	24	JGI	SW	Coastal waters of Israel (Eastern Aegean)
27126	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Alteromonas	macleodii	107	ATCC	27126	D20-160027-4500T	27126	27126	Alteromonas macleodii ATCC 27126	27	D20-160027-4500T		AM27126	GCA_000172635.fna	1	5	7000186758	B		ATCC	27126		27126	Alteromonas macleodii ATCC 27126	GCA_000172635	24	NCBI	SW	seawater
aalgi	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Arenibacter	algicola	SMS7	HP Grossart		D20-160032-4500T	Aalgi	aalgi	Arenibacter algicola strain SMS7	32	D20-160032-4500T		SMS7	Arenibacter_algicola_SMS7.fna	1	3	7000186762	H		Hans-Peter Grossart			Aalgi	Arenibacter algicola strain SMS7	Arenibacter_algicola_SMS7	6	OTHERS	SW	seawater
abie	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	abietaniphila	BKME-9	DSMZ	17554	D20-160060-4500T	abie	abie	Pseudomonas abietaniphila LMG 20220	60	D20-160060-4500T	Y	Abie	2667527211.fna	1	3	7000186762	E		DSMZ	17554		abie	Pseudomonas abietaniphila LMG 20220	2667527211	31	JGI	SW	Lagoon British Columbia, Canada isolation date: 1994
atlcs	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Croceibacter	atlanticus	HTCC 2559	ATCC	BAA-628	D20-160050-4500T	atlcs	atlcs	Croceibacter atlanticus HTCC2559	50	D20-160050-4500T	Y	atlcs	2526164557.fna	1	5	7000186758	A		ATCC	BAA-628		atlcs	Croceibacter atlanticus HTCC2559	2526164557	10	JGI	SW	Sargasso Sea at a depth of 250 meters
azure	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	azureus	LC2-005	DSMZ	23306	D20-160059-4500T	azure	azure	Vibrio azureus NBRC 104587	59	D20-160059-4500T	Y	Azure	2600255073.fna	1	4	7000186757	H		DSMZ	23306		azure	Vibrio azureus NBRC 104587	2600255073	25	JGI	SW	marine, https://academic.oup.com/femsle/article/329/1/61/627402
b2china	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pelagibacterium	halotolerans	B2	Xuewei Xu		D20-160051-4500T	B2china	B2china	Pelagibacterium halotolerans B2	51	D20-160051-4500T	Same as B2China?	B2	GCA_000230555.fna	1	4	7000186757	G		Xuewei Xu			B2china	Pelagibacterium halotolerans B2	GCA_000230555	30	NCBI	SW	seawater, East China Sea, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3256593/
bdim	Proteobacteria	Alphaproteobacteria	Rhizobiales	Caulobacteraceae	Brevundimonas	diminuta	PCI 818	ATCC	19146	D20-160034-4500T	bdim	blin		34	D20-160034-4500T	Y	Bdim	GCF_004102925.1_ASM410292v1_genomic.fna.gz	2	6	7000186764	E	Pseudomonas diminuta	ATCC	19146		bdim						
